place,name,kind,source
ir-r11789910,کوی رضوی (گردو),colloquial,osm
ir-r11789914,فاز ۱;مسکن (کوی علوی),colloquial,osm
ir-r11789892,خیابان ابوذر; بیمارستان قدس,colloquial,osm
ir-r11789881,میدان البرز; پارک شهر; خیابان آیت الله غفاری,colloquial,osm
ir-soltanmanesh,سلطان منش,spelling,osm
ir-ferdowsi,۰۰۷,colloquial,osm
ir-south-sepah,۰۴۹,colloquial,osm
ir-moslem-bani-hashem,۰۴۵,colloquial,osm
ir-w1214477975,گاومیش آباد,colloquial,osm
ir-sardaran,۰۶۲,colloquial,osm
ir-r11789908,پارک امیر کبیر;سبحانی,colloquial,osm
ir-siyah-sang,۰۰۵,colloquial,osm
ir-pashm-shisheh,۰۹۲,colloquial,osm
ir-r11789928,امین; الهیه,colloquial,osm
ir-kuye-tollab,۰۳۸,colloquial,osm
ir-shahrak-mokhaberat,۰۹۳,colloquial,osm
ir-sharifabad,۱۲۱,colloquial,osm
ir-razi,۰۱۰,colloquial,osm
ir-r10054797,۰۰۱,colloquial,osm
ir-r11789909,خیابان شهید بهشتی;خیابان میثم;میدان شریعتی,colloquial,osm
ir-hormozgan,۰۴۲,colloquial,osm
ir-pasdaran-2,۰۵۴,colloquial,osm
ir-r11789883,خانه سازی قنات; بلوار جهرم,colloquial,osm
ir-maali-abad,۱۱۶,colloquial,osm
ir-jomhuri-3,۰۵۸,colloquial,osm
ir-south-saadieh,۰۸۳,colloquial,osm
ir-pansad-dastgah-artesh,047,colloquial,osm
ir-r8682974,lashkar abad,spelling,osm
ir-saraye-moshir,۰۰۲,colloquial,osm
ir-r17099144,قیجیلی,colloquial,osm
ir-r10054437,۰۱۵,colloquial,osm
ir-minoo-keshvari,۱۳۴,colloquial,osm
ir-farhangian-2,۰۸۹,colloquial,osm
ir-r11789887,شهرک آزادگان; قائم,colloquial,osm
ir-r11789917,میدان شهدا;خیابان جنت;نیسانیان,colloquial,osm
ir-mabaas,۰۷۹,colloquial,osm
ir-navab-safavi,۰۴۶,colloquial,osm
ir-south-eman,۱۱۳,colloquial,osm
ir-shahrak-e-niru-entezami,۱۰۳,colloquial,osm
ir-safire-omid-town-2,شهرک طالقانی,colloquial,osm
ir-r11789905,دانشگاه اراک; شهرک سجادیه (باغ خلج),colloquial,osm
ir-r10054050,۰۱۲,colloquial,osm
ir-douran,۱۲۳,colloquial,osm
ir-baharan,۱۲۷,colloquial,osm
ir-abyari,۰۳۰,colloquial,osm
ir-kuye-vahdat,۱۳۵,colloquial,osm
ir-madar-e-soleyman,مادرسلیمان,colloquial,osm
ir-baharan-2,بهاران; حافظیه,colloquial,osm
ir-pasargad-2,۰۷۵,colloquial,osm
ir-qale-shahzadeh-beygom,۰۲۵,colloquial,osm
ir-shishehgari,۰۱۱,colloquial,osm
ir-fadva,پدوا,colloquial,osm
ir-shorghan-shahrak-mehregan,۱۴۳,colloquial,osm
ir-bist-metri-emam-khomeini,۰۵۰,colloquial,osm
ir-chogia,۰۵۷,colloquial,osm
ir-r11789885,شهرک جوادیه; الغدیر,colloquial,osm
ir-goldasht-maali-abad,۱۲۸,colloquial,osm
ir-r11789916,میدان ولیعصر;خیابان دکتر حسابی;خیابان شهید رجایی,colloquial,osm
ir-r11789924,فاز ۲,colloquial,osm
ir-r11789913,علم الهدی;میدان راه آهن;شهرک ولیعصر (چشمه موشک),colloquial,osm
ir-north-sepah,۰۲۸,colloquial,osm
ir-kuzehgari,۰۲۶,colloquial,osm
ir-gelkoub,۰۱۳,colloquial,osm
ir-darorrahmeh,۰۴۴,colloquial,osm
ir-sheykhali-choopan,۰۴۳,colloquial,osm
ir-neyestan-saadi,۰۶۰,colloquial,osm
ir-north-qadir,۱۴۶,colloquial,osm
ir-shohadaye-shahrak-saadi,۱۰۲,colloquial,osm
ir-saadi-cinema,۰۱۶,colloquial,osm
ir-paeez,۰۷۴,colloquial,osm
ir-r11789912,شهرک ولیعصر;میدان راه آهن;شریعتی;انتهای خیابان جنت,colloquial,osm
ir-andisheh,شهرک پیله سهران,old,osm
ir-kian-shahr,۰۴۰,colloquial,osm
ir-kaveh-2,درب دوم,colloquial,osm
ir-shahrak-e-sibouyeh-podnak,۱۰۴,colloquial,osm
ir-niruye-daryayi,کالاد,colloquial,osm
ir-fergaz,۰۷۱,colloquial,osm
ir-bonakdaran,۰۶۵,colloquial,osm
ir-sar-e-dezak,۰۰۴,colloquial,osm
ir-vazir-abad-2,۱۴۴,colloquial,osm
ir-r11789895,پردیس ۱ و ۲; پارک آزادی,colloquial,osm
ir-derki,۰۲۹,colloquial,osm
ir-shahrak-golestan,۱۴۷,colloquial,osm
ir-riasati,۰۶۱,colloquial,osm
ir-r10055200,۰۸۸,colloquial,osm
ir-sheikh-ruzbehan,۱۰۹,colloquial,osm
ir-fergaz-2,۰۷۲,colloquial,osm
ir-azadegan-6,۰۳۹,colloquial,osm
ir-tahvili-fakhr-abad,۰۱۴,colloquial,osm
ir-r11789903,رودکی; شهرک ابوالفضل; میدان انقلاب,colloquial,osm
ir-kaveh-3,۰۲۳,colloquial,osm
ir-ghasrodasht,۰۵۶,colloquial,osm
ir-ziba-shahr-3,۰۸۱,colloquial,osm
ir-kushkak,۱۴۲,colloquial,osm
ir-r17448470,مسکن مهر لپوئی,colloquial,osm
ir-r11789899,سنجان; شهرک نبئی,colloquial,osm
ir-r10053647,۰۱۷,colloquial,osm
ir-sardkhaneh-fale-asiri,۱۰۵,colloquial,osm
